indicator,country_code,year,value
paygap,AUS,2016,11.538461538
paygap,AUS,2017,11.664190193
paygap,AUS,2018,11.714285714
paygap,AUT,2016,15.670899643
paygap,AUT,2017,15.38215397
paygap,AUT,2018,14.876690892
paygap,BEL,2016,3.7012987013
paygap,BEL,2017,4.1902961563
paygap,CAN,2016,18.221153846
paygap,CAN,2017,18.17322239
paygap,CAN,2018,18.518518519
paygap,CAN,2019,17.59375
paygap,CZE,2016,16.023430838
paygap,CZE,2017,15.614010894
paygap,CZE,2018,15.127413864
paygap,CZE,2019,14.714332257
paygap,DNK,2016,5.7326280384
paygap,DNK,2017,5.2966919656
paygap,DNK,2018,4.8632060095
paygap,FIN,2016,16.47225837
paygap,FIN,2017,17.717920638
paygap,FIN,2018,18.855203722
paygap,FRA,2016,13.691416535
paygap,DEU,2016,15.510718789
paygap,DEU,2017,16.19047619
paygap,DEU,2018,15.250121418
paygap,GRC,2016,4.486279454
paygap,GRC,2017,4.486279454
paygap,GRC,2018,4.486279454
paygap,HUN,2016,9.3643171806
paygap,HUN,2017,5.3202686547
paygap,HUN,2018,5.0632142857
paygap,ISL,2016,11.543446315
paygap,ITA,2016,5.5555555533
paygap,JPN,2016,24.601289447
paygap,JPN,2017,24.518092661
paygap,JPN,2018,23.537368955
paygap,JPN,2019,23.480013436
paygap,KOR,2016,36.666666667
paygap,KOR,2017,34.617382557
paygap,KOR,2018,34.107310951
paygap,KOR,2019,32.480444715
paygap,MEX,2016,16.492248062
paygap,MEX,2017,11.111111111
paygap,MEX,2018,14
paygap,MEX,2019,18.75
paygap,NZL,2016,7.7692307692
paygap,NZL,2017,7.1508379888
paygap,NZL,2018,7.8696925329
paygap,NZL,2019,6.5084501978
paygap,NOR,2016,6.764027671
paygap,NOR,2017,6.3909774436
paygap,NOR,2018,5.8492413118
paygap,NOR,2019,4.9940828402
paygap,POL,2016,9.4178809362
paygap,POL,2018,11.497909952
paygap,PRT,2016,14.313146076
paygap,PRT,2017,14.773510708
paygap,PRT,2018,9.5866017068
paygap,SVK,2016,13.899182143
paygap,SVK,2017,15.040042332
paygap,SVK,2018,15.662080133
paygap,SVK,2019,13.869849949
paygap,SWE,2016,8.1699346405
paygap,SWE,2017,7.3482428115
paygap,SWE,2018,7.1428571429
paygap,SWE,2019,7.5757575758
paygap,CHE,2016,14.762372073
paygap,CHE,2018,15.095647352
paygap,GBR,2016,16.796536797
paygap,GBR,2017,16.534100525
paygap,GBR,2018,16.310424203
paygap,GBR,2019,16.008911521
paygap,USA,2016,18.142076503
paygap,USA,2017,18.172157279
paygap,USA,2018,18.910585817
paygap,USA,2019,18.470705065
paygap,CHL,2017,12.5
paygap,COL,2016,7.0917506686
paygap,COL,2017,7.6923076923
paygap,COL,2018,5.7879259259
paygap,COL,2019,4
paygap,CRI,2016,1.7857142857
paygap,CRI,2017,2.967032967
paygap,CRI,2018,4.7252747253
paygap,CRI,2019,0
paygap,ISR,2016,21.593332041
paygap,ISR,2017,21.791789941
paygap,ISR,2018,22.659192432
paygap,OECD,2016,13.2659380064312
paygap,OECD,2017,13.0077221584776
paygap,OECD,2018,12.8900073252095
